origin,dest,year,month,carrier,passengers,seats,departures_performed,distance_miles
ACK,SFO,2024,12,UA,7801,9920,32,2760.7
ACK,SFO,2025,1,UA,9579,10461,33,2760.7
ACK,SFO,2025,2,UA,10425,12122,38,2760.7
ACK,SFO,2025,3,UA,6028,8384,32,2760.7
ACK,SFO,2025,4,UA,7500,8094,38,2760.7
ACK,SFO,2025,5,UA,6846,8060,31,2760.7
ACK,SFO,2025,6,UA,6878,8064,32,2760.7
ACK,SFO,2025,7,UA,8908,10137,31,2760.7
ACK,SFO,2025,8,UA,5651,7560,30,2760.7
ACK,SFO,2025,9,UA,6000,7227,33,2760.7
ACK,SFO,2025,10,UA,6570,7689,33,2760.7
ACK,SFO,2025,11,UA,7906,8943,33,2760.7
ACK,SFO,2025,12,UA,8378,11385,33,2760.7
ACK,SFO,2026,1,UA,9445,11662,34,2760.7
ACK,SFO,2026,2,UA,8977,10726,31,2760.7
ACK,SFO,2026,3,UA,8182,9835,35,2760.7
ACK,SFO,2026,4,UA,9519,11742,38,2760.7
ACK,SFO,2026,5,UA,7340,8400,30,2760.7
ANC,ATL,2024,6,NK,18292,20560,80,3410.3
ANC,ATL,2024,7,NK,20603,24831,89,3410.3
ANC,ATL,2024,8,NK,21302,26487,81,3410.3
ANC,ATL,2024,9,NK,20987,24414,78,3410.3
ANC,ATL,2024,10,NK,15403,18343,83,3410.3
ANC,ATL,2024,11,NK,17463,22990,95,3410.3
ANC,ATL,2024,12,NK,21668,25298,91,3410.3
ANC,ATL,2025,1,NK,19161,25810,89,3410.3
ANC,ATL,2025,2,NK,21258,25994,82,3410.3
ANC,ATL,2025,3,NK,22850,26544,84,3410.3
ANC,ATL,2025,4,NK,24426,28756,91,3410.3
ANC,ATL,2025,5,NK,18326,20140,76,3410.3
ANC,ATL,2025,6,NK,20381,25872,84,3410.3
ANC,ATL,2025,7,NK,23358,27972,84,3410.3
ANC,ATL,2025,8,NK,12538,17100,76,3410.3
ANC,ATL,2025,9,NK,19216,23134,86,3410.3
ANC,ATL,2025,10,NK,20329,26274,87,3410.3
ANC,ATL,2025,11,NK,23422,26860,79,3410.3
ANC,ATL,2025,12,NK,20286,24376,88,3410.3
ANC,ATL,2026,1,NK,28845,31527,93,3410.3
ANC,ATL,2026,2,NK,23832,27778,86,3410.3
ANC,ATL,2026,3,NK,21514,27257,97,3410.3
ANC,ATL,2026,4,NK,17315,20461,79,3410.3
ANC,ATL,2026,5,NK,15515,21962,79,3410.3
ANC,DEN,2024,6,UA,9005,10972,52,2400.5
ANC,DEN,2024,7,UA,12637,15950,50,2400.5
ANC,DEN,2024,8,UA,12106,14750,50,2400.5
ANC,DEN,2024,9,UA,8610,11132,46,2400.5
ANC,DEN,2024,10,UA,11349,12887,49,2400.5
ANC,DEN,2024,11,UA,12631,15336,54,2400.5
ANC,DEN,2024,12,UA,7876,9447,47,2400.5
ANC,DEN,2025,1,UA,11741,15870,46,2400.5
ANC,DEN,2025,2,UA,11160,12220,52,2400.5
ANC,DEN,2025,3,UA,9984,14200,50,2400.5
ANC,DEN,2025,4,UA,10225,12015,45,2400.5
ANC,DEN,2025,5,UA,8758,10848,48,2400.5
ANC,DEN,2025,6,UA,13173,16848,52,2400.5
ANC,DEN,2025,7,UA,14670,16642,53,2400.5
ANC,DEN,2025,8,UA,11684,13348,47,2400.5
ANC,DEN,2025,9,UA,12309,14582,46,2400.5
ANC,DEN,2025,10,UA,10282,12878,47,2400.5
ANC,DEN,2025,11,UA,10811,12032,47,2400.5
ANC,DEN,2025,12,UA,13288,17350,50,2400.5
ANC,DEN,2026,1,UA,10571,11124,54,2400.5
ANC,DEN,2026,2,UA,10352,12400,50,2400.5
ANC,DEN,2026,3,UA,12692,14257,53,2400.5
ANC,DEN,2026,4,UA,11635,13832,52,2400.5
ANC,DEN,2026,5,UA,11151,11760,49,2400.5
ANC,LAX,2024,6,B6,6700,8964,54,2343.2
ANC,LAX,2024,7,B6,8418,9568,52,2343.2
ANC,LAX,2024,8,B6,7365,8690,55,2343.2
ANC,LAX,2024,9,B6,7047,8736,52,2343.2
ANC,LAX,2024,10,B6,6999,8007,51,2343.2
ANC,LAX,2024,11,B6,6361,7755,47,2343.2
ANC,LAX,2024,12,B6,6718,9114,49,2343.2
ANC,LAX,2025,1,B6,7410,8772,51,2343.2
ANC,LAX,2025,2,B6,7449,9646,53,2343.2
ANC,LAX,2025,3,B6,5423,7693,49,2343.2
ANC,LAX,2025,4,B6,6270,7520,47,2343.2
ANC,LAX,2025,5,B6,7527,8820,49,2343.2
ANC,LAX,2025,6,B6,6868,10044,54,2343.2
ANC,LAX,2025,7,B6,7534,8904,53,2343.2
ANC,LAX,2025,8,B6,7946,9065,49,2343.2
ANC,LAX,2025,9,B6,7645,9540,53,2343.2
ANC,LAX,2025,10,B6,7008,8568,51,2343.2
ANC,LAX,2025,11,B6,6680,8262,54,2343.2
ANC,LAX,2025,12,B6,6748,7800,52,2343.2
ANC,LAX,2026,1,B6,7837,9308,52,2343.2
ANC,LAX,2026,2,B6,6550,9464,52,2343.2
ANC,LAX,2026,3,B6,6953,8965,55,2343.2
ANC,LAX,2026,4,B6,8201,9828,52,2343.2
ANC,LAX,2026,5,B6,7084,7728,48,2343.2
ANC,SFO,2024,6,AA,8235,9381,59,2015.8
ANC,SFO,2024,7,AA,8125,9568,52,2015.8
ANC,SFO,2024,8,AA,8115,10672,58,2015.8
ANC,SFO,2024,9,AA,7971,8910,54,2015.8
ANC,SFO,2024,10,AA,6385,8778,57,2015.8
ANC,SFO,2024,11,AA,6945,9063,57,2015.8
ANC,SFO,2024,12,AA,7561,10065,55,2015.8
ANC,SFO,2025,1,AA,6392,8112,52,2015.8
ANC,SFO,2025,2,AA,8328,10024,56,2015.8
ANC,SFO,2025,3,AA,10146,10545,57,2015.8
ANC,SFO,2025,4,AA,6457,8568,51,2015.8
ANC,SFO,2025,5,AA,5922,8008,52,2015.8
ANC,SFO,2025,6,AA,8686,11340,60,2015.8
ANC,SFO,2025,7,AA,7579,8976,48,2015.8
ANC,SFO,2025,8,AA,8965,10325,59,2015.8
ANC,SFO,2025,9,AA,7074,8904,53,2015.8
ANC,SFO,2025,10,AA,6948,8428,49,2015.8
ANC,SFO,2025,11,AA,8212,10498,58,2015.8
ANC,SFO,2025,12,AA,6464,8525,55,2015.8
ANC,SFO,2026,1,AA,8392,10324,58,2015.8
ANC,SFO,2026,2,AA,8413,10384,59,2015.8
ANC,SFO,2026,3,AA,7095,8874,58,2015.8
ANC,SFO,2026,4,AA,8539,10032,57,2015.8
ANC,SFO,2026,5,AA,7253,9128,56,2015.8
ATL,ANC,2024,6,AS,15471,18247,71,3410.3
ATL,ANC,2024,7,AS,14078,15912,68,3410.3
ATL,ANC,2024,8,AS,17104,20735,65,3410.3
ATL,ANC,2024,9,AS,20862,24396,76,3410.3
ATL,ANC,2024,10,AS,10524,15080,65,3410.3
ATL,ANC,2024,11,AS,17201,22908,69,3410.3
ATL,ANC,2024,12,AS,18358,21488,68,3410.3
ATL,ANC,2025,1,AS,18521,22536,72,3410.3
ATL,ANC,2025,2,AS,20065,25308,74,3410.3
ATL,ANC,2025,3,AS,11284,12978,63,3410.3
ATL,ANC,2025,4,AS,17026,22110,66,3410.3
ATL,ANC,2025,5,AS,14839,18975,75,3410.3
ATL,ANC,2025,6,AS,13623,17780,70,3410.3
ATL,ANC,2025,7,AS,20679,21964,68,3410.3
ATL,ANC,2025,8,AS,18886,25280,80,3410.3
ATL,ANC,2025,9,AS,12313,16184,68,3410.3
ATL,ANC,2025,10,AS,11378,15022,58,3410.3
ATL,ANC,2025,11,AS,16268,19312,71,3410.3
ATL,ANC,2025,12,AS,11555,15075,75,3410.3
ATL,ANC,2026,1,AS,14239,16056,72,3410.3
ATL,ANC,2026,2,AS,19942,23325,75,3410.3
ATL,ANC,2026,3,AS,17412,20720,74,3410.3
ATL,ANC,2026,4,AS,14286,17871,69,3410.3
ATL,ANC,2026,5,AS,11694,13824,64,3410.3
ATL,AUS,2024,6,UA,16023,23275,133,811.0
ATL,AUS,2024,7,UA,18821,22304,136,811.0
ATL,AUS,2024,8,UA,16930,20049,123,811.0
ATL,AUS,2024,9,UA,15670,20480,128,811.0
ATL,AUS,2024,10,UA,15828,19200,128,811.0
ATL,AUS,2024,11,UA,10871,14400,120,811.0
ATL,AUS,2024,12,UA,13318,16368,132,811.0
ATL,AUS,2025,1,UA,13888,17236,124,811.0
ATL,AUS,2025,2,UA,18157,21976,134,811.0
ATL,AUS,2025,3,UA,13826,17018,134,811.0
ATL,AUS,2025,4,UA,14430,18724,124,811.0
ATL,AUS,2025,5,UA,13306,17466,123,811.0
ATL,AUS,2025,6,UA,16443,19596,142,811.0
ATL,AUS,2025,7,UA,13173,15360,128,811.0
ATL,AUS,2025,8,UA,13300,17028,129,811.0
ATL,AUS,2025,9,UA,17683,22057,137,811.0
ATL,AUS,2025,10,UA,16554,21840,140,811.0
ATL,AUS,2025,11,UA,17725,20868,141,811.0
ATL,AUS,2025,12,UA,21035,23829,141,811.0
ATL,AUS,2026,1,UA,12181,14883,123,811.0
ATL,AUS,2026,2,UA,14704,20382,129,811.0
ATL,AUS,2026,3,UA,12232,14268,116,811.0
ATL,AUS,2026,4,UA,18146,21209,127,811.0
ATL,AUS,2026,5,UA,19013,22836,132,811.0
ATL,BDL,2024,6,NK,11944,14280,85,858.7
ATL,BDL,2024,7,NK,9592,11868,86,858.7
ATL,BDL,2024,8,NK,8947,10703,77,858.7
ATL,BDL,2024,9,NK,10339,11008,86,858.7
ATL,BDL,2024,10,NK,10061,13083,89,858.7
ATL,BDL,2024,11,NK,12539,15210,90,858.7
ATL,BDL,2024,12,NK,12208,14535,85,858.7
ATL,BDL,2025,1,NK,8652,10496,82,858.7
ATL,BDL,2025,2,NK,11553,12870,78,858.7
ATL,BDL,2025,3,NK,10747,13448,82,858.7
ATL,BDL,2025,4,NK,8264,10428,79,858.7
ATL,BDL,2025,5,NK,11210,13920,87,858.7
ATL,BDL,2025,6,NK,11718,13861,83,858.7
ATL,BDL,2025,7,NK,9492,11421,81,858.7
ATL,BDL,2025,8,NK,10561,12012,84,858.7
ATL,BDL,2025,9,NK,9917,12416,97,858.7
ATL,BDL,2025,10,NK,10051,11628,76,858.7
ATL,BDL,2025,11,NK,8990,10692,81,858.7
ATL,BDL,2025,12,NK,9481,12495,85,858.7
ATL,BDL,2026,1,NK,9607,11388,78,858.7
ATL,BDL,2026,2,NK,9089,12348,84,858.7
ATL,BDL,2026,3,NK,10157,12920,76,858.7
ATL,BDL,2026,4,NK,12073,14706,86,858.7
ATL,BDL,2026,5,NK,10831,14168,88,858.7
ATL,BGR,2024,6,NK,18893,21021,147,1133.4
ATL,BGR,2024,7,NK,17112,21195,157,1133.4
ATL,BGR,2024,8,NK,16695,19926,162,1133.4
ATL,BGR,2024,9,NK,18121,22630,146,1133.4
ATL,BGR,2024,10,NK,23703,25758,162,1133.4
ATL,BGR,2024,11,NK,16389,17802,138,1133.4
ATL,BGR,2024,12,NK,20935,23858,158,1133.4
ATL,BGR,2025,1,NK,19074,23373,147,1133.4
ATL,BGR,2025,2,NK,16540,21574,161,1133.4
ATL,BGR,2025,3,NK,17722,20862,171,1133.4
ATL,BGR,2025,4,NK,24674,28054,166,1133.4
ATL,BGR,2025,5,NK,22817,23856,142,1133.4
ATL,BGR,2025,6,NK,19411,23490,162,1133.4
ATL,BGR,2025,7,NK,18370,22330,145,1133.4
ATL,BGR,2025,8,NK,18259,25760,160,1133.4
ATL,BGR,2025,9,NK,16610,20276,148,1133.4
ATL,BGR,2025,10,NK,16039,20382,158,1133.4
ATL,BGR,2025,11,NK,16536,19812,156,1133.4
ATL,BGR,2025,12,NK,23074,24492,157,1133.4
ATL,BGR,2026,1,NK,19429,25564,166,1133.4
ATL,BGR,2026,2,NK,21047,24948,154,1133.4
ATL,BGR,2026,3,NK,17559,19968,156,1133.4
ATL,BGR,2026,4,NK,20683,24090,146,1133.4
ATL,BGR,2026,5,NK,19286,24624,152,1133.4
ATL,BHB,2024,6,AA,18748,23490,174,1137.1
ATL,BHB,2024,7,AA,20347,27267,183,1137.1
ATL,BHB,2024,8,AA,20103,24928,164,1137.1
ATL,BHB,2024,9,AA,25799,29928,174,1137.1
ATL,BHB,2024,10,AA,19559,23858,158,1137.1
ATL,BHB,2024,11,AA,15368,19592,158,1137.1
ATL,BHB,2024,12,AA,21033,25604,148,1137.1
ATL,BHB,2025,1,AA,25404,27885,169,1137.1
ATL,BHB,2025,2,AA,22709,24797,181,1137.1
ATL,BHB,2025,3,AA,22118,27880,170,1137.1
ATL,BHB,2025,4,AA,26785,30430,179,1137.1
ATL,BHB,2025,5,AA,19333,28336,176,1137.1
ATL,BHB,2025,6,AA,22773,30970,190,1137.1
ATL,BHB,2025,7,AA,21682,27018,158,1137.1
ATL,BHB,2025,8,AA,22332,26052,156,1137.1
ATL,BHB,2025,9,AA,15406,19760,152,1137.1
ATL,BHB,2025,10,AA,24332,27840,160,1137.1
ATL,BHB,2025,11,AA,21806,30268,188,1137.1
ATL,BHB,2025,12,AA,21170,29559,177,1137.1
ATL,BHB,2026,1,AA,21851,28906,194,1137.1
ATL,BHB,2026,2,AA,21759,25921,161,1137.1
ATL,BHB,2026,3,AA,22060,26895,163,1137.1
ATL,BHB,2026,4,AA,23130,26600,175,1137.1
ATL,BHB,2026,5,AA,19948,26245,181,1137.1
ATL,BNA,2024,6,AS,4609,5544,84,214.0
ATL,BNA,2024,7,AS,4859,5265,81,214.0
ATL,BNA,2024,8,AS,3294,4288,64,214.0
ATL,BNA,2024,9,AS,4692,6004,79,214.0
ATL,BNA,2024,10,AS,3575,4620,77,214.0
ATL,BNA,2024,11,AS,3637,4588,74,214.0
ATL,BNA,2024,12,AS,4276,5135,79,214.0
ATL,BNA,2025,1,AS,4855,5550,75,214.0
ATL,BNA,2025,2,AS,3403,4032,72,214.0
ATL,BNA,2025,3,AS,4002,5402,74,214.0
ATL,BNA,2025,4,AS,4585,5680,80,214.0
ATL,BNA,2025,5,AS,4439,4968,72,214.0
ATL,BNA,2025,6,AS,3269,3800,76,214.0
ATL,BNA,2025,7,AS,3707,4661,79,214.0
ATL,BNA,2025,8,AS,3194,4015,73,214.0
ATL,BNA,2025,9,AS,3261,4473,71,214.0
ATL,BNA,2025,10,AS,4621,4779,81,214.0
ATL,BNA,2025,11,AS,3836,4526,73,214.0
ATL,BNA,2025,12,AS,3573,4851,77,214.0
ATL,BNA,2026,1,AS,5411,6375,85,214.0
ATL,BNA,2026,2,AS,4689,5135,79,214.0
ATL,BNA,2026,3,AS,3730,4599,73,214.0
ATL,BNA,2026,4,AS,3176,4332,76,214.0
ATL,BNA,2026,5,AS,4126,4914,78,214.0
ATL,BTV,2024,6,AA,11992,14453,97,960.6
ATL,BTV,2024,7,AA,12502,16700,100,960.6
ATL,BTV,2024,8,AA,9104,11790,90,960.6
ATL,BTV,2024,9,AA,13389,14600,100,960.6
ATL,BTV,2024,10,AA,12078,15345,93,960.6
ATL,BTV,2024,11,AA,11392,12558,91,960.6
ATL,BTV,2024,12,AA,8808,11792,88,960.6
ATL,BTV,2025,1,AA,15291,16975,97,960.6
ATL,BTV,2025,2,AA,14322,15862,103,960.6
ATL,BTV,2025,3,AA,10140,13490,95,960.6
ATL,BTV,2025,4,AA,11633,14872,104,960.6
ATL,BTV,2025,5,AA,9486,12028,97,960.6
ATL,BTV,2025,6,AA,13682,16182,93,960.6
ATL,BTV,2025,7,AA,10094,11571,87,960.6
ATL,BTV,2025,8,AA,10737,11481,89,960.6
ATL,BTV,2025,9,AA,14049,16830,102,960.6
ATL,BTV,2025,10,AA,10269,12831,91,960.6
ATL,BTV,2025,11,AA,11942,13950,90,960.6
ATL,BTV,2025,12,AA,12117,13680,95,960.6
ATL,BTV,2026,1,AA,9507,12319,97,960.6
ATL,BTV,2026,2,AA,13784,15792,94,960.6
ATL,BTV,2026,3,AA,11330,12512,92,960.6
ATL,BTV,2026,4,AA,11375,13590,90,960.6
ATL,BTV,2026,5,AA,13002,15840,99,960.6
ATL,CLT,2024,6,B6,6860,7370,134,226.5
ATL,CLT,2024,7,B6,7169,9900,150,226.5
ATL,CLT,2024,8,B6,7497,9180,153,226.5
ATL,CLT,2024,9,B6,6757,7810,142,226.5
ATL,CLT,2024,10,B6,6767,9263,157,226.5
ATL,CLT,2024,11,B6,5977,7072,136,226.5
ATL,CLT,2024,12,B6,8372,8631,137,226.5
ATL,CLT,2025,1,B6,9341,10950,146,226.5
ATL,CLT,2025,2,B6,6063,7261,137,226.5
ATL,CLT,2025,3,B6,8991,10508,142,226.5
ATL,CLT,2025,4,B6,7716,8555,145,226.5
ATL,CLT,2025,5,B6,8812,10412,137,226.5
ATL,CLT,2025,6,B6,6468,8662,142,226.5
ATL,CLT,2025,7,B6,7377,8607,151,226.5
ATL,CLT,2025,8,B6,8727,10488,138,226.5
ATL,CLT,2025,9,B6,6480,8906,146,226.5
ATL,CLT,2025,10,B6,7293,8580,143,226.5
ATL,CLT,2025,11,B6,7475,8866,143,226.5
ATL,CLT,2025,12,B6,8540,9384,138,226.5
ATL,CLT,2026,1,B6,6651,8784,144,226.5
ATL,CLT,2026,2,B6,7412,9945,153,226.5
ATL,CLT,2026,3,B6,8944,9792,144,226.5
ATL,CLT,2026,4,B6,5918,8436,148,226.5
ATL,CLT,2026,5,B6,8045,11100,150,226.5
ATL,DFW,2024,6,NK,21126,24453,143,729.8
ATL,DFW,2024,7,NK,19000,24955,155,729.8
ATL,DFW,2024,8,NK,25395,26180,154,729.8
ATL,DFW,2024,9,NK,19560,24332,158,729.8
ATL,DFW,2024,10,NK,17102,19285,133,729.8
ATL,DFW,2024,11,NK,22965,28724,167,729.8
ATL,DFW,2024,12,NK,13822,16470,135,729.8
ATL,DFW,2025,1,NK,21373,28036,163,729.8
ATL,DFW,2025,2,NK,19886,23989,161,729.8
ATL,DFW,2025,3,NK,15653,18944,148,729.8
ATL,DFW,2025,4,NK,16224,18944,148,729.8
ATL,DFW,2025,5,NK,17064,22350,150,729.8
ATL,DFW,2025,6,NK,16749,20736,144,729.8
ATL,DFW,2025,7,NK,17477,22720,142,729.8
ATL,DFW,2025,8,NK,19892,25258,146,729.8
ATL,DFW,2025,9,NK,15113,16764,127,729.8
ATL,DFW,2025,10,NK,18766,24300,162,729.8
ATL,DFW,2025,11,NK,16770,22120,140,729.8
ATL,DFW,2025,12,NK,15762,19200,150,729.8
ATL,DFW,2026,1,NK,16984,21114,153,729.8
ATL,DFW,2026,2,NK,17398,21375,125,729.8
ATL,DFW,2026,3,NK,18070,22168,163,729.8
ATL,DFW,2026,4,NK,20764,25256,154,729.8
ATL,DFW,2026,5,NK,16542,20124,156,729.8
ATL,FLL,2024,6,AA,6884,8556,62,581.9
ATL,FLL,2024,7,AA,7994,9983,67,581.9
ATL,FLL,2024,8,AA,9154,10584,72,581.9
ATL,FLL,2024,9,AA,7835,9945,65,581.9
ATL,FLL,2024,10,AA,9394,9984,64,581.9
ATL,FLL,2024,11,AA,7184,9114,62,581.9
ATL,FLL,2024,12,AA,6381,7888,58,581.9
ATL,FLL,2025,1,AA,8086,9804,57,581.9
ATL,FLL,2025,2,AA,7791,8479,61,581.9
ATL,FLL,2025,3,AA,7726,9891,63,581.9
ATL,FLL,2025,4,AA,8008,9702,66,581.9
ATL,FLL,2025,5,AA,7162,8990,58,581.9
ATL,FLL,2025,6,AA,8570,10150,70,581.9
ATL,FLL,2025,7,AA,7115,8460,60,581.9
ATL,FLL,2025,8,AA,8105,10854,67,581.9
ATL,FLL,2025,9,AA,6280,8601,61,581.9
ATL,FLL,2025,10,AA,7984,10890,66,581.9
ATL,FLL,2025,11,AA,7496,9176,62,581.9
ATL,FLL,2025,12,AA,7216,8360,55,581.9
ATL,FLL,2026,1,AA,6343,7896,56,581.9
ATL,FLL,2026,2,AA,7688,10176,64,581.9
ATL,FLL,2026,3,AA,7550,8967,61,581.9
ATL,FLL,2026,4,AA,7594,8976,68,581.9
ATL,FLL,2026,5,AA,7970,9982,62,581.9
ATL,IAD,2024,6,AS,9971,12250,98,533.8
ATL,IAD,2024,7,AS,13462,14500,100,533.8
ATL,IAD,2024,8,AS,10574,12960,96,533.8
ATL,IAD,2024,9,AS,12449,14338,107,533.8
ATL,IAD,2024,10,AS,13846,15876,108,533.8
ATL,IAD,2024,11,AS,8710,11656,94,533.8
ATL,IAD,2024,12,AS,15119,17922,103,533.8
ATL,IAD,2025,1,AS,12286,14345,95,533.8
ATL,IAD,2025,2,AS,11951,15066,93,533.8
ATL,IAD,2025,3,AS,12682,17000,100,533.8
ATL,IAD,2025,4,AS,10169,12864,96,533.8
ATL,IAD,2025,5,AS,10302,13100,100,533.8
ATL,IAD,2025,6,AS,12911,15582,98,533.8
ATL,IAD,2025,7,AS,13020,15778,98,533.8
ATL,IAD,2025,8,AS,10267,13377,91,533.8
ATL,IAD,2025,9,AS,12377,17655,107,533.8
ATL,IAD,2025,10,AS,14115,16932,102,533.8
ATL,IAD,2025,11,AS,13117,15810,102,533.8
ATL,IAD,2025,12,AS,9560,13056,96,533.8
ATL,IAD,2026,1,AS,12056,13056,102,533.8
ATL,IAD,2026,2,AS,9413,13530,110,533.8
ATL,IAD,2026,3,AS,11381,15984,111,533.8
ATL,IAD,2026,4,AS,10548,13516,109,533.8
ATL,IAD,2026,5,AS,10621,13938,101,533.8
ATL,MHT,2024,6,AS,24174,28372,173,951.4
ATL,MHT,2024,7,AS,21935,26741,187,951.4
ATL,MHT,2024,8,AS,15987,20625,165,951.4
ATL,MHT,2024,9,AS,15896,20086,166,951.4
ATL,MHT,2024,10,AS,19919,21750,174,951.4
ATL,MHT,2024,11,AS,21434,25308,171,951.4
ATL,MHT,2024,12,AS,23467,26082,161,951.4
ATL,MHT,2025,1,AS,21653,28224,168,951.4
ATL,MHT,2025,2,AS,26508,31648,184,951.4
ATL,MHT,2025,3,AS,23589,27552,168,951.4
