airport_code,year,month,flights_total,flights_delayed_15,avg_delay_min,pct_delay_nas,pct_delay_weather,pct_delay_carrier,pct_delay_late_aircraft
MSP,2026,5,10400,1707,12.95,0.1873,0.0718,0.5894,0.1515
MSY,2026,4,4428,863,13.37,0.2164,0.0493,0.293,0.4413
MSY,2026,5,4194,1206,20.62,0.1622,0.0793,0.2822,0.4762
MVY,2026,5,33,4,7.27,0.548,0.032,0.3092,0.1109
OAK,2026,4,2509,680,13.92,0.1734,0.0028,0.3756,0.4482
OAK,2026,5,2683,697,14.32,0.1399,0.0097,0.3277,0.5228
ORD,2026,4,33206,8515,21.1,0.2109,0.0852,0.2519,0.452
ORD,2026,5,33733,7803,18.32,0.1891,0.0881,0.2659,0.4569
ORH,2026,4,110,15,8.98,0.4535,0.0,0.043,0.5035
ORH,2026,5,62,12,15.68,0.2453,0.0,0.3306,0.4241
PDX,2026,4,5040,730,10.0,0.2631,0.0177,0.3136,0.4056
PDX,2026,5,5535,881,11.34,0.2521,0.0171,0.3781,0.3527
PHL,2026,4,8692,1679,15.42,0.2095,0.0198,0.3235,0.4473
PHL,2026,5,9251,1765,15.02,0.233,0.059,0.2991,0.4088
PHX,2026,4,17679,3852,13.47,0.1404,0.0136,0.3893,0.4568
PHX,2026,5,17337,4363,15.88,0.1693,0.0121,0.3577,0.4609
PQI,2026,4,30,4,6.33,0.5831,0.0592,0.3576,0.0
PQI,2026,5,31,1,1.48,0.1875,0.0,0.8125,0.0
PSM,2026,4,50,8,5.24,0.6475,0.0123,0.0205,0.3197
PSM,2026,5,47,11,46.6,0.0619,0.0,0.4765,0.4617
PVD,2026,4,1349,194,10.93,0.3183,0.0041,0.2918,0.3858
PVD,2026,5,1366,243,11.44,0.2191,0.0959,0.213,0.4719
PWM,2026,4,720,115,16.64,0.1737,0.0083,0.5019,0.3161
PWM,2026,5,1056,141,10.11,0.2659,0.0535,0.3281,0.3525
RDU,2026,4,4748,794,12.96,0.2501,0.0119,0.2714,0.4666
RDU,2026,5,4884,881,13.63,0.2502,0.0012,0.2694,0.4791
SAN,2026,4,8505,1972,13.38,0.2248,0.014,0.2765,0.4848
SAN,2026,5,8947,2285,14.93,0.2796,0.0305,0.2102,0.4797
SEA,2026,4,12864,1985,9.76,0.2527,0.0182,0.5353,0.1938
SEA,2026,5,14564,2877,11.63,0.2458,0.0258,0.4512,0.2772
SFO,2026,4,12401,3272,17.96,0.2137,0.0161,0.3122,0.4579
SFO,2026,5,13114,4131,21.6,0.2301,0.0112,0.2429,0.5158
SLC,2026,4,9877,1366,9.74,0.2314,0.0395,0.4773,0.2518
SLC,2026,5,10146,1494,9.44,0.26,0.0329,0.4583,0.2487
SMF,2026,4,4672,827,10.23,0.1587,0.0094,0.3479,0.484
SMF,2026,5,4945,1016,12.43,0.1763,0.015,0.3172,0.4915
SNA,2026,4,3686,734,13.87,0.2733,0.0368,0.3766,0.3132
SNA,2026,5,3835,760,13.97,0.3334,0.0479,0.2492,0.3695
STL,2026,4,5156,1069,14.32,0.2084,0.0591,0.2805,0.452
STL,2026,5,5375,1396,19.33,0.2136,0.0445,0.2724,0.4694
TPA,2026,4,6952,1339,13.33,0.1979,0.0108,0.326,0.4653
TPA,2026,5,6471,1653,19.6,0.179,0.0995,0.2226,0.4988
