airport_code,year,month,operations_total,itinerant_ops,local_ops
BED,2025,11,342,206,136
BED,2025,12,348,210,138
BED,2026,1,337,203,134
BED,2026,2,316,190,126
BED,2026,3,384,231,153
BED,2026,4,372,224,148
BED,2026,5,421,254,167
BGR,2024,6,1157,842,315
BGR,2024,7,1333,970,363
BGR,2024,8,1187,864,323
BGR,2024,9,1018,741,277
BGR,2024,10,1079,785,294
BGR,2024,11,923,672,251
BGR,2024,12,1057,769,288
BGR,2025,1,858,624,234
BGR,2025,2,809,589,220
BGR,2025,3,1035,753,282
BGR,2025,4,1057,769,288
BGR,2025,5,1111,808,303
BGR,2025,6,1229,894,335
BGR,2025,7,1188,864,324
BGR,2025,8,1227,893,334
BGR,2025,9,1059,771,288
BGR,2025,10,1050,764,286
BGR,2025,11,961,699,262
BGR,2025,12,925,673,252
BGR,2026,1,874,636,238
BGR,2026,2,848,617,231
BGR,2026,3,980,713,267
BGR,2026,4,1005,731,274
BGR,2026,5,1008,733,275
BHB,2024,6,2591,1740,851
BHB,2024,7,2757,1851,906
BHB,2024,8,2686,1804,882
BHB,2024,9,2279,1530,749
BHB,2024,10,2121,1424,697
BHB,2024,11,2026,1360,666
BHB,2024,12,2179,1463,716
BHB,2025,1,1899,1275,624
BHB,2025,2,1736,1166,570
BHB,2025,3,1990,1336,654
BHB,2025,4,2223,1493,730
BHB,2025,5,2354,1581,773
BHB,2025,6,2392,1606,786
BHB,2025,7,2417,1623,794
BHB,2025,8,2563,1721,842
BHB,2025,9,2138,1436,702
BHB,2025,10,2176,1461,715
BHB,2025,11,1937,1301,636
BHB,2025,12,2076,1394,682
BHB,2026,1,1940,1303,637
BHB,2026,2,1905,1279,626
BHB,2026,3,2043,1372,671
BHB,2026,4,2248,1509,739
BHB,2026,5,2470,1659,811
BID,2024,6,2417,1617,800
BID,2024,7,2484,1661,823
BID,2024,8,2536,1696,840
BID,2024,9,2193,1467,726
BID,2024,10,2003,1340,663
BID,2024,11,1969,1317,652
BID,2024,12,2010,1344,666
BID,2025,1,1814,1213,601
BID,2025,2,1821,1218,603
BID,2025,3,1988,1330,658
BID,2025,4,2120,1418,702
BID,2025,5,2246,1502,744
BID,2025,6,2532,1693,839
BID,2025,7,2417,1617,800
BID,2025,8,2413,1614,799
BID,2025,9,2249,1504,745
BID,2025,10,2094,1401,693
BID,2025,11,1945,1301,644
BID,2025,12,2055,1374,681
BID,2026,1,1826,1221,605
BID,2026,2,1733,1159,574
BID,2026,3,1925,1287,638
BID,2026,4,2104,1407,697
BID,2026,5,2100,1405,695
BNA,2024,6,15635,12824,2811
BNA,2024,7,17759,14567,3192
BNA,2024,8,15110,12394,2716
BNA,2024,9,13790,11311,2479
BNA,2024,10,13154,10789,2365
BNA,2024,11,12125,9945,2180
BNA,2024,12,12022,9861,2161
BNA,2025,1,12271,10065,2206
BNA,2025,2,11995,9839,2156
BNA,2025,3,13758,11285,2473
BNA,2025,4,14919,12237,2682
BNA,2025,5,14520,11910,2610
BNA,2025,6,16062,13175,2887
BNA,2025,7,17229,14132,3097
BNA,2025,8,18255,14974,3281
BNA,2025,9,14519,11909,2610
BNA,2025,10,15772,12937,2835
BNA,2025,11,13011,10672,2339
BNA,2025,12,13864,11372,2492
BNA,2026,1,12390,10163,2227
BNA,2026,2,12117,9939,2178
BNA,2026,3,13823,11338,2485
BNA,2026,4,14401,11812,2589
BNA,2026,5,15958,13089,2869
BOS,2024,6,33187,31754,1433
BOS,2024,7,35635,34096,1539
BOS,2024,8,33012,31587,1425
BOS,2024,9,32849,31431,1418
BOS,2024,10,27847,26645,1202
BOS,2024,11,28942,27692,1250
BOS,2024,12,28610,27375,1235
BOS,2025,1,25711,24601,1110
BOS,2025,2,26675,25523,1152
BOS,2025,3,27143,25971,1172
BOS,2025,4,29213,27952,1261
BOS,2025,5,32920,31499,1421
BOS,2025,6,32337,30941,1396
BOS,2025,7,37490,35871,1619
BOS,2025,8,36639,35057,1582
BOS,2025,9,30527,29209,1318
BOS,2025,10,29724,28441,1283
BOS,2025,11,26381,25242,1139
BOS,2025,12,27694,26498,1196
BOS,2026,1,24079,23039,1040
BOS,2026,2,26151,25022,1129
BOS,2026,3,26008,24885,1123
BOS,2026,4,28370,27145,1225
BOS,2026,5,31325,29973,1352
BTV,2024,6,999,584,415
BTV,2024,7,1062,621,441
BTV,2024,8,1158,677,481
BTV,2024,9,995,582,413
BTV,2024,10,970,567,403
BTV,2024,11,817,478,339
BTV,2024,12,927,542,385
BTV,2025,1,800,468,332
BTV,2025,2,752,440,312
BTV,2025,3,874,511,363
BTV,2025,4,1020,596,424
BTV,2025,5,959,561,398
BTV,2025,6,1115,652,463
BTV,2025,7,1188,695,493
BTV,2025,8,1160,678,482
BTV,2025,9,997,583,414
BTV,2025,10,1012,592,420
BTV,2025,11,868,507,361
BTV,2025,12,948,554,394
BTV,2026,1,815,476,339
BTV,2026,2,878,513,365
BTV,2026,3,983,575,408
BTV,2026,4,1080,631,449
BTV,2026,5,1050,614,436
BWI,2024,6,12762,11233,1529
BWI,2024,7,13161,11584,1577
BWI,2024,8,13548,11925,1623
BWI,2024,9,11103,9773,1330
BWI,2024,10,11740,10333,1407
BWI,2024,11,10143,8928,1215
BWI,2024,12,11361,10000,1361
BWI,2025,1,9610,8459,1151
BWI,2025,2,9153,8056,1097
BWI,2025,3,11979,10544,1435
BWI,2025,4,12019,10579,1440
BWI,2025,5,12884,11340,1544
BWI,2025,6,12938,11388,1550
BWI,2025,7,14012,12333,1679
BWI,2025,8,13712,12069,1643
BWI,2025,9,12501,11003,1498
BWI,2025,10,11715,10311,1404
BWI,2025,11,11272,9922,1350
BWI,2025,12,11160,9823,1337
BWI,2026,1,9834,8656,1178
BWI,2026,2,9580,8432,1148
BWI,2026,3,11317,9961,1356
BWI,2026,4,11226,9881,1345
BWI,2026,5,11777,10366,1411
CLT,2024,6,34212,33101,1111
CLT,2024,7,34503,33382,1121
CLT,2024,8,36459,35275,1184
CLT,2024,9,31058,30049,1009
CLT,2024,10,31561,30536,1025
CLT,2024,11,26824,25953,871
CLT,2024,12,30329,29344,985
CLT,2025,1,26638,25773,865
CLT,2025,2,27172,26289,883
CLT,2025,3,30163,29183,980
CLT,2025,4,33304,32222,1082
CLT,2025,5,35754,34592,1162
CLT,2025,6,37219,36010,1209
CLT,2025,7,39993,38694,1299
CLT,2025,8,40028,38728,1300
CLT,2025,9,33946,32843,1103
CLT,2025,10,34539,33417,1122
CLT,2025,11,28451,27527,924
CLT,2025,12,31060,30051,1009
CLT,2026,1,28934,27994,940
CLT,2026,2,28992,28050,942
CLT,2026,3,31530,30506,1024
CLT,2026,4,33755,32658,1097
CLT,2026,5,34147,33038,1109
DCA,2024,6,11346,10385,961
DCA,2024,7,11287,10331,956
DCA,2024,8,10448,9563,885
DCA,2024,9,9553,8744,809
DCA,2024,10,9315,8526,789
DCA,2024,11,8990,8229,761
DCA,2024,12,9415,8618,797
DCA,2025,1,8283,7581,702
DCA,2025,2,8340,7634,706
DCA,2025,3,9095,8325,770
DCA,2025,4,9345,8553,792
DCA,2025,5,10432,9548,884
DCA,2025,6,11043,10108,935
DCA,2025,7,11892,10885,1007
DCA,2025,8,11777,10779,998
DCA,2025,9,9479,8676,803
DCA,2025,10,9581,8769,812
DCA,2025,11,8641,7909,732
DCA,2025,12,9242,8459,783
DCA,2026,1,8889,8136,753
DCA,2026,2,9322,8532,790
DCA,2026,3,9168,8391,777
DCA,2026,4,9851,9017,834
DCA,2026,5,10353,9476,877
DEN,2024,6,30956,29458,1498
DEN,2024,7,34731,33050,1681
DEN,2024,8,34040,32392,1648
DEN,2024,9,26962,25657,1305
DEN,2024,10,28282,26913,1369
DEN,2024,11,26237,24967,1270
DEN,2024,12,25975,24718,1257
DEN,2025,1,23875,22719,1156
DEN,2025,2,24208,23036,1172
DEN,2025,3,28053,26695,1358
DEN,2025,4,29633,28199,1434
DEN,2025,5,29099,27690,1409
DEN,2025,6,31821,30281,1540
DEN,2025,7,36390,34629,1761
DEN,2025,8,33311,31699,1612
DEN,2025,9,31543,30016,1527
DEN,2025,10,29825,28381,1444
DEN,2025,11,24627,23435,1192
DEN,2025,12,27517,26185,1332
DEN,2026,1,23683,22537,1146
DEN,2026,2,26363,25087,1276
DEN,2026,3,28402,27027,1375
DEN,2026,4,31233,29721,1512
DEN,2026,5,31170,29661,1509
DFW,2024,6,27454,26403,1051
DFW,2024,7,29021,27910,1111
DFW,2024,8,27908,26840,1068
DFW,2024,9,25284,24316,968
DFW,2024,10,26549,25533,1016
DFW,2024,11,20942,20140,802
DFW,2024,12,23875,22961,914
DFW,2025,1,22530,21668,862
DFW,2025,2,21788,20954,834
DFW,2025,3,24438,23503,935
DFW,2025,4,24216,23289,927
DFW,2025,5,27547,26493,1054
DFW,2025,6,29705,28568,1137
DFW,2025,7,30105,28953,1152
DFW,2025,8,31242,30046,1196
DFW,2025,9,26443,25431,1012
DFW,2025,10,25007,24050,957
DFW,2025,11,24580,23639,941
DFW,2025,12,26118,25118,1000
DFW,2026,1,22591,21726,865
DFW,2026,2,22110,21264,846
DFW,2026,3,25553,24575,978
DFW,2026,4,24888,23935,953
DFW,2026,5,29464,28336,1128
DTW,2024,6,38608,37183,1425
DTW,2024,7,38616,37191,1425
DTW,2024,8,38285,36872,1413
DTW,2024,9,31132,29983,1149
DTW,2024,10,31995,30814,1181
DTW,2024,11,28559,27505,1054
DTW,2024,12,31619,30452,1167
DTW,2025,1,27616,26597,1019
DTW,2025,2,26659,25675,984
DTW,2025,3,32117,30931,1186
DTW,2025,4,31630,30462,1168
DTW,2025,5,36131,34797,1334
DTW,2025,6,38545,37122,1423
DTW,2025,7,37820,36424,1396
DTW,2025,8,38688,37260,1428
DTW,2025,9,35827,34505,1322
DTW,2025,10,36142,34808,1334
DTW,2025,11,28400,27352,1048
DTW,2025,12,31889,30712,1177
DTW,2026,1,27733,26709,1024
DTW,2026,2,31360,30202,1158
DTW,2026,3,30519,29392,1127
DTW,2026,4,34597,33320,1277
DTW,2026,5,33362,32131,1231
EWB,2024,6,3003,2012,991
EWB,2024,7,3277,2196,1081
EWB,2024,8,3000,2010,990
EWB,2024,9,2675,1792,883
EWB,2024,10,2817,1888,929
EWB,2024,11,2461,1649,812
EWB,2024,12,2515,1685,830
EWB,2025,1,2200,1474,726
EWB,2025,2,2252,1509,743
EWB,2025,3,2350,1575,775
EWB,2025,4,2844,1906,938
EWB,2025,5,2612,1750,862
EWB,2025,6,3193,2140,1053
EWB,2025,7,3232,2166,1066
EWB,2025,8,3214,2154,1060
EWB,2025,9,2798,1875,923
EWB,2025,10,2802,1878,924
EWB,2025,11,2289,1534,755
EWB,2025,12,2632,1764,868
EWB,2026,1,2297,1539,758
EWB,2026,2,2370,1588,782
EWB,2026,3,2661,1783,878
EWB,2026,4,2934,1966,968
EWB,2026,5,2949,1976,973
EWR,2024,6,29221,27448,1773
EWR,2024,7,27113,25468,1645
EWR,2024,8,29216,27443,1773
EWR,2024,9,24599,23106,1493
EWR,2024,10,23634,22200,1434
EWR,2024,11,21353,20057,1296
EWR,2024,12,22046,20708,1338
EWR,2025,1,21743,20424,1319
EWR,2025,2,20332,19098,1234
EWR,2025,3,23624,22191,1433
EWR,2025,4,25434,23891,1543
EWR,2025,5,25771,24207,1564
EWR,2025,6,29041,27279,1762
EWR,2025,7,30352,28510,1842
EWR,2025,8,29556,27763,1793
EWR,2025,9,23291,21878,1413
EWR,2025,10,26769,25145,1624
EWR,2025,11,23384,21965,1419
EWR,2025,12,23120,21717,1403
EWR,2026,1,20495,19251,1244
EWR,2026,2,20184,18959,1225
EWR,2026,3,23283,21870,1413
EWR,2026,4,25437,23894,1543
EWR,2026,5,25713,24153,1560
FLL,2024,6,7729,6761,968
FLL,2024,7,7821,6841,980
FLL,2024,8,8034,7028,1006
FLL,2024,9,6750,5904,846
FLL,2024,10,6588,5763,825
FLL,2024,11,6013,5260,753
FLL,2024,12,6249,5466,783
FLL,2025,1,5478,4792,686
FLL,2025,2,5946,5201,745
FLL,2025,3,6234,5453,781
FLL,2025,4,6678,5841,837
FLL,2025,5,7396,6469,927
FLL,2025,6,7928,6935,993
FLL,2025,7,7871,6885,986
FLL,2025,8,7877,6890,987
FLL,2025,9,6292,5504,788
FLL,2025,10,6802,5950,852
FLL,2025,11,6130,5362,768
FLL,2025,12,6158,5387,771
FLL,2026,1,5436,4755,681
FLL,2026,2,5634,4928,706
FLL,2026,3,6191,5415,776
FLL,2026,4,6577,5753,824
FLL,2026,5,7050,6167,883
HNL,2024,6,11539,10352,1187
HNL,2024,7,10548,9463,1085
HNL,2024,8,10995,9864,1131
HNL,2024,9,9221,8272,949
HNL,2024,10,9767,8762,1005
HNL,2024,11,8461,7591,870
HNL,2024,12,8880,7966,914
HNL,2025,1,7898,7085,813
HNL,2025,2,7897,7085,812
HNL,2025,3,9301,8344,957
HNL,2025,4,9521,8542,979
HNL,2025,5,9516,8537,979
HNL,2025,6,11344,10177,1167
HNL,2025,7,11669,10469,1200
HNL,2025,8,11939,10711,1228
HNL,2025,9,9708,8709,999
HNL,2025,10,9255,8303,952
HNL,2025,11,8588,7704,884
HNL,2025,12,8802,7896,906
HNL,2026,1,8537,7659,878
HNL,2026,2,8138,7301,837
HNL,2026,3,8816,7909,907
HNL,2026,4,9110,8173,937
HNL,2026,5,10690,9590,1100
HVN,2024,6,3451,2176,1275
HVN,2024,7,3805,2399,1406
HVN,2024,8,3628,2288,1340
HVN,2024,9,3078,1941,1137
HVN,2024,10,3311,2088,1223
HVN,2024,11,3084,1945,1139
HVN,2024,12,3092,1950,1142
HVN,2025,1,2572,1622,950
HVN,2025,2,2581,1628,953
HVN,2025,3,2970,1873,1097
HVN,2025,4,3388,2136,1252
HVN,2025,5,3320,2093,1227
HVN,2025,6,3702,2334,1368
HVN,2025,7,3785,2387,1398
HVN,2025,8,3772,2379,1393
HVN,2025,9,3274,2064,1210
HVN,2025,10,3028,1909,1119
HVN,2025,11,2888,1821,1067
HVN,2025,12,3056,1927,1129
HVN,2026,1,2786,1757,1029
HVN,2026,2,2786,1757,1029
HVN,2026,3,3362,2120,1242
HVN,2026,4,3417,2155,1262
HVN,2026,5,3632,2290,1342
HYA,2024,6,2052,1228,824
HYA,2024,7,2206,1320,886
HYA,2024,8,2079,1244,835
HYA,2024,9,1997,1195,802
HYA,2024,10,1699,1017,682
HYA,2024,11,1598,956,642
HYA,2024,12,1554,930,624
HYA,2025,1,1576,943,633
HYA,2025,2,1427,854,573
HYA,2025,3,1802,1078,724
HYA,2025,4,1881,1126,755
HYA,2025,5,1970,1179,791
HYA,2025,6,2127,1273,854
HYA,2025,7,2107,1261,846
HYA,2025,8,2168,1297,871
HYA,2025,9,1775,1062,713
HYA,2025,10,1993,1193,800
HYA,2025,11,1645,984,661
HYA,2025,12,1714,1026,688
HYA,2026,1,1542,923,619
HYA,2026,2,1501,898,603
HYA,2026,3,1867,1117,750
HYA,2026,4,2006,1201,805
HYA,2026,5,1943,1163,780
IAD,2024,6,11626,9666,1960
IAD,2024,7,11861,9861,2000
IAD,2024,8,12196,10140,2056
IAD,2024,9,10162,8449,1713
IAD,2024,10,11090,9220,1870
IAD,2024,11,8866,7371,1495
IAD,2024,12,9546,7937,1609
IAD,2025,1,9094,7561,1533
IAD,2025,2,8825,7337,1488
IAD,2025,3,9589,7972,1617
IAD,2025,4,10392,8640,1752
IAD,2025,5,10741,8930,1811
IAD,2025,6,12869,10699,2170
IAD,2025,7,12210,10151,2059
IAD,2025,8,12508,10399,2109
IAD,2025,9,10930,9087,1843
IAD,2025,10,11193,9306,1887
IAD,2025,11,9636,8011,1625
IAD,2025,12,10162,8449,1713
IAD,2026,1,8674,7212,1462
IAD,2026,2,8949,7440,1509
IAD,2026,3,10964,9115,1849
IAD,2026,4,11251,9354,1897
IAD,2026,5,12217,10157,2060
IAH,2024,6,31929,30571,1358
IAH,2024,7,37024,35449,1575
IAH,2024,8,35829,34305,1524
IAH,2024,9,30936,29620,1316
IAH,2024,10,30736,29429,1307
IAH,2024,11,26988,25840,1148
IAH,2024,12,29929,28656,1273
IAH,2025,1,26443,25318,1125
IAH,2025,2,28182,26983,1199
IAH,2025,3,28236,27035,1201
IAH,2025,4,30492,29195,1297
IAH,2025,5,32530,31147,1383
IAH,2025,6,35974,34444,1530
IAH,2025,7,36977,35404,1573
IAH,2025,8,33193,31781,1412
IAH,2025,9,33742,32307,1435
IAH,2025,10,31560,30218,1342
IAH,2025,11,28363,27157,1206
IAH,2025,12,30714,29408,1306
IAH,2026,1,26031,24924,1107
IAH,2026,2,26228,25113,1115
IAH,2026,3,30096,28816,1280
IAH,2026,4,31174,29848,1326
IAH,2026,5,32727,31335,1392
JFK,2024,6,29936,28229,1707
JFK,2024,7,34291,32336,1955
JFK,2024,8,33377,31474,1903
JFK,2024,9,27746,26164,1582
JFK,2024,10,25748,24280,1468
JFK,2024,11,24127,22751,1376
JFK,2024,12,25844,24371,1473
JFK,2025,1,24180,22801,1379
JFK,2025,2,24259,22876,1383
JFK,2025,3,27209,25658,1551
JFK,2025,4,25665,24202,1463
JFK,2025,5,27108,25562,1546
JFK,2025,6,30628,28882,1746
JFK,2025,7,30412,28678,1734
JFK,2025,8,32043,30216,1827
JFK,2025,9,28442,26820,1622
JFK,2025,10,28899,27251,1648
JFK,2025,11,25467,24015,1452
JFK,2025,12,25751,24283,1468
JFK,2026,1,24322,22935,1387
JFK,2026,2,21339,20122,1217
JFK,2026,3,26704,25181,1523
JFK,2026,4,26918,25383,1535
JFK,2026,5,28408,26788,1620
LAS,2024,6,27851,26801,1050
LAS,2024,7,28114,27055,1059
LAS,2024,8,29612,28496,1116
LAS,2024,9,23399,22517,882
LAS,2024,10,22735,21878,857
LAS,2024,11,22407,21563,844
LAS,2024,12,25775,24804,971
LAS,2025,1,20743,19961,782
LAS,2025,2,20404,19635,769
LAS,2025,3,24030,23124,906
LAS,2025,4,23657,22766,891
LAS,2025,5,27263,26236,1027
LAS,2025,6,30247,29107,1140
LAS,2025,7,28908,27819,1089
LAS,2025,8,29255,28153,1102
LAS,2025,9,27767,26721,1046
LAS,2025,10,26481,25483,998
LAS,2025,11,23357,22477,880
LAS,2025,12,27174,26150,1024
LAS,2026,1,22887,22025,862
LAS,2026,2,22950,22085,865
LAS,2026,3,24684,23754,930
LAS,2026,4,26281,25291,990
LAS,2026,5,28235,27171,1064
LAX,2024,6,37575,35212,2363
LAX,2024,7,38977,36526,2451
LAX,2024,8,37572,35210,2362
LAX,2024,9,34382,32220,2162
LAX,2024,10,33852,31723,2129
LAX,2024,11,29930,28048,1882
LAX,2024,12,31578,29592,1986
LAX,2025,1,28476,26685,1791
LAX,2025,2,25849,24224,1625
LAX,2025,3,32161,30139,2022
LAX,2025,4,33313,31218,2095
LAX,2025,5,39089,36631,2458
LAX,2025,6,38466,36047,2419
LAX,2025,7,41173,38584,2589
LAX,2025,8,41287,38691,2596
LAX,2025,9,35400,33174,2226
LAX,2025,10,36548,34250,2298
LAX,2025,11,30917,28973,1944
LAX,2025,12,32818,30754,2064
LAX,2026,1,29845,27968,1877
LAX,2026,2,33231,31141,2090
LAX,2026,3,30823,28885,1938
LAX,2026,4,36037,33771,2266
LAX,2026,5,38412,35997,2415
LEB,2024,6,3405,2077,1328
LEB,2024,7,3829,2336,1493
LEB,2024,8,3584,2186,1398
LEB,2024,9,3069,1872,1197
LEB,2024,10,3087,1883,1204
LEB,2024,11,2850,1739,1111
LEB,2024,12,2885,1760,1125
LEB,2025,1,2737,1670,1067
LEB,2025,2,2629,1604,1025
LEB,2025,3,3084,1881,1203
LEB,2025,4,3141,1916,1225
LEB,2025,5,3419,2086,1333
LEB,2025,6,3645,2224,1421
LEB,2025,7,3690,2251,1439
LEB,2025,8,3375,2059,1316
LEB,2025,9,3140,1915,1225
LEB,2025,10,3222,1965,1257
LEB,2025,11,2664,1625,1039
LEB,2025,12,2911,1776,1135
LEB,2026,1,2816,1718,1098
LEB,2026,2,2683,1637,1046
LEB,2026,3,3292,2008,1284
LEB,2026,4,3067,1871,1196
LEB,2026,5,3462,2112,1350
LGA,2024,6,32865,30733,2132
LGA,2024,7,36090,33748,2342
LGA,2024,8,35460,33159,2301
LGA,2024,9,28984,27103,1881
LGA,2024,10,27238,25471,1767
LGA,2024,11,23767,22225,1542
LGA,2024,12,26069,24378,1691
LGA,2025,1,24092,22529,1563
LGA,2025,2,23962,22407,1555
LGA,2025,3,27022,25269,1753
LGA,2025,4,30324,28356,1968
LGA,2025,5,28839,26968,1871
LGA,2025,6,29934,27992,1942
LGA,2025,7,33095,30948,2147
LGA,2025,8,32500,30391,2109
LGA,2025,9,27583,25793,1790
LGA,2025,10,28600,26744,1856
LGA,2025,11,23763,22221,1542
LGA,2025,12,24287,22711,1576
LGA,2026,1,21651,20246,1405
LGA,2026,2,24046,22486,1560
LGA,2026,3,24967,23347,1620
LGA,2026,4,27653,25859,1794
LGA,2026,5,27442,25661,1781
MCO,2024,6,30215,28876,1339
MCO,2024,7,30056,28724,1332
MCO,2024,8,29793,28473,1320
MCO,2024,9,26611,25432,1179
MCO,2024,10,26570,25393,1177
MCO,2024,11,23804,22749,1055
MCO,2024,12,24214,23141,1073
MCO,2025,1,21234,20293,941
MCO,2025,2,20684,19767,917
MCO,2025,3,23645,22597,1048
MCO,2025,4,27094,25893,1201
MCO,2025,5,25854,24708,1146
MCO,2025,6,31179,29797,1382
MCO,2025,7,32502,31062,1440
MCO,2025,8,30180,28843,1337
MCO,2025,9,26073,24918,1155
MCO,2025,10,25489,24360,1129
MCO,2025,11,22107,21127,980
MCO,2025,12,24757,23660,1097
MCO,2026,1,22036,21060,976
MCO,2026,2,21646,20687,959
MCO,2026,3,24772,23674,1098
MCO,2026,4,27561,26340,1221
MCO,2026,5,26560,25383,1177
MDW,2024,6,2599,1902,697
MDW,2024,7,2733,2000,733
MDW,2024,8,2953,2161,792
MDW,2024,9,2262,1655,607
MDW,2024,10,2428,1777,651
MDW,2024,11,2186,1600,586
MDW,2024,12,2393,1751,642
MDW,2025,1,2061,1508,553
MDW,2025,2,2074,1518,556
